source;author;title;description;url;publishedAt;content;country;category;sentiment
Plos.org;Omar Muhumed Maidhane, Omran Salih, Abdisalam Hassan Muse, Abdirahman Omer Osman, Muse H. Abdi, Mahdi Hashi Hassan, Nur Mohamud Ali, Shacban Abdilahi Elmi;Spatial distribution and determinants of unimproved sanitation facilities among households in Somalia: Using Somalia integrated household budget survey (SIHBS 2022);Background Access to adequate sanitation remains a critical public health challenge in Somalia, where a large portion of the population relies on unimproved facilities due to persistent conflict, climate shocks, and political instability. This reliance contri…;https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0348029;2026-04-24T14:00:00Z;"Abstract
Background
Access to adequate sanitation remains a critical public health challenge in Somalia, where a large portion of the population relies on unimproved facilities due to persistent co… [+42860 chars]";Mali;Conflict-Driven Crisis (war, violence, attacks on healthcare);negative
UN News;dpicampaigns;Two-thirds of global hunger concentrated in 10 conflict-hit countries;A growing share of global hunger is becoming entrenched in a small group of conflict-hit countries, with two-thirds of people facing acute food insecurity concentrated in just 10 nations, a major international report backed by UN agencies warns. Read Full Sto…;https://news.un.org/en/story/2026/04/1167374;2026-04-24T12:00:00Z;The 2026 Global Report on Food Crises, released on Friday by an alliance of UN agencies, the European Union (EU) and partners, finds that 266 million people across 47 countries experienced high level… [+4210 chars];Unknown;Food & Nutrition-Driven Crisis (famine, malnutrition, starvation);negative
HuffPost;HuffPost;'Nobody's Spared From This Conflict': Lebanon's People Are In Survival Mode;Israel's bombing has killed thousands, displaced more than a million and rendered health care barely accessible for Lebanon's women and children.;https://www.huffpost.com/entry/lebanon-humanitarian-crisis-survival-mode_n_69e8fef5e4b0bb584bc850fa;2026-04-24T11:00:18Z;When Rabih Torbay landed in Lebanon on April 8, he was shocked to find the airport and the road to Beirut empty. The drive brought back memories of his childhood during the countrys civil war several… [+7944 chars];Lebanon;Conflict-Driven Crisis (war, violence, attacks on healthcare);negative
Meshkal.org;Meshkal;En Tunisie, des voix s'élèvent contre le racisme alors que les politiques anti-migrants se durcissent (Anglais);Anti-racist protesters are speaking out against a climate of racism against black migrants fostered by official discourse.;https://meshkal.org/voices-rise-against-racism-in-tunisia-as-policy-hardens/;2026-04-24T10:40:58Z;"Tunis - Chahd Lina Belhadj
Earlier this month, dozens of activists, students, and members of civil society marched through downtown Tunis holding signs denouncing racial discrimination, calling for … [+18677 chars]";Unknown;Displacement-Driven Crisis (refugees, camps, migration);negative
RTE;RTÉ News;Two-thirds of world's hungriest in 10 countries - report;Two-thirds of people facing food crises globally last year lived in just 10 countries, with a third of them in Sudan, Nigeria and the Democratic Republic of Congo, a UN-backed yearly report said today.;https://www.rte.ie/news/world/2026/0424/1569958-countries-hunger-un/;2026-04-24T10:21:17Z;Two-thirds of people facing food crises globally last year lived in just 10 countries, with a third of them in Sudan, Nigeria and the Democratic Republic of Congo, a UN-backed yearly report said toda… [+2287 chars];Democratic Republic of Congo;Food & Nutrition-Driven Crisis (famine, malnutrition, starvation);neutral
Vanguard;Ayobami;Nigeria, Sudan, eight others home to two-thirds of world’s most hungry – UN;"Two-thirds of people facing food crises globally last year lived in just 10 countries, with a third of them in Sudan, Nigeria and the Democratic Republic of Congo, a UN-backed yearly report said Friday.
The post Nigeria, Sudan, eight others home to two-thirds…";https://www.vanguardngr.com/2026/04/nigeria-sudan-eight-others-home-to-two-thirds-of-worlds-most-hungry-un/;2026-04-24T09:43:15Z;Two-thirds of people facing food crises globally last year lived in just 10 countries, with a third of them in Sudan, Nigeria and the Democratic Republic of Congo, a UN-backed yearly report said Frid… [+2282 chars];Democratic Republic of Congo;Food & Nutrition-Driven Crisis (famine, malnutrition, starvation);neutral
POLITICO.eu;Bartosz Brzeziński;Global hunger hits most severe level in years as aid funding collapses, UN warns;"""Severe hunger has doubled, and famine has been declared in two places. The same countries are caught in a devastating cycle of hunger — fueled by conflict and compounded by inadequate funding,"" says food aid chief Cindy McCain.";https://www.politico.eu/article/global-hunger-hits-severe-level-aid-funding-collapses-un-warns/;2026-04-24T09:28:52Z;Humanitarian and development spending on food crises has collapsed to 2016-2017 levels, the report says, against a backdrop of a nearly 57 percent drop in U.S. foreign aid last year and sweeping cuts… [+1588 chars];Unknown;Food & Nutrition-Driven Crisis (famine, malnutrition, starvation);negative
The Times of India;AFP;10 countries are home to two-thirds of world's most hungry: UN-backed report;A UN-backed report reveals two-thirds of global food crises last year were concentrated in just 10 countries, with Sudan, Nigeria, and the DRC bearing a third of the burden. Conflict remains the primary driver, and the outlook for 2026 is bleak due to ongoing…;https://economictimes.indiatimes.com/news/international/world-news/10-countries-are-home-to-two-thirds-of-worlds-most-hungry-un-backed-report/articleshow/130489312.cms;2026-04-24T09:19:38Z;Rome: Two-thirds of people facing food crises globally last year lived in just 10 countries, with a third of them in Sudan, Nigeria and the Democratic Republic of Congo, a UN-backed yearly report sai… [+2298 chars];Democratic Republic of Congo;Conflict-Driven Crisis (war, violence, attacks on healthcare);negative
Vanguard;Akinbayo Wahab;Food Crisis: Nigeria, Sudan among 10 countries home to world’s most hungry – UN report;"Around 266 million people in 47 countries or territories experienced high levels of acute food insecurity last year, nearly double the share recorded in 2016, the report said.
The post Food Crisis: Nigeria, Sudan among 10 countries home to world’s most hungry…";https://www.vanguardngr.com/2026/04/food-crisis-nigeria-sudan-among-10-countries-home-to-worlds-most-hungry-un-report/;2026-04-24T09:11:17Z;Two-thirds of people facing food crises globally last year lived in just 10 countries, with a third of them in Sudan, Nigeria and the Democratic Republic of Congo, a UN-backed yearly report said Frid… [+2293 chars];Democratic Republic of Congo;Food & Nutrition-Driven Crisis (famine, malnutrition, starvation);negative
Al Jazeera English;Al Jazeera;Global hunger report warns of rising malnutrition and famine risks;Conflict remains the leading driver of hunger, affecting nearly 150 million people facing acute food shortages.;https://www.aljazeera.com/news/2026/4/24/global-hunger-report-warns-of-rising-malnutrition-and-famine-risks;2026-04-24T09:02:15Z;Famine was confirmed in two places in 2025 areas of the Gaza Strip and Sudan the first such dual confirmation since formal famine reporting began, according to the Global Report on Food Crises (GRFC)… [+4327 chars];Sudan;Conflict-Driven Crisis (war, violence, attacks on healthcare);negative
Antiwar.com;Jordan Liz;The Pope Is Right – The US-Israeli War With Iran Violates Just-War Theory;On April 10th, Pope Leo XIV posted on Twitter/X, “God does not bless any conflict. Anyone who is a disciple of Christ, the Prince of Peace, is never on the side of those who once wielded the sword and today drop bombs. Military action will not create space fo…;https://original.antiwar.com/jordan_liz/2026/04/23/the-pope-is-right-the-us-israeli-war-with-iran-violates-just-war-theory/;2026-04-24T00:00:12Z;On April 10th, Pope Leo XIV posted on Twitter/X, God does not bless any conflict. Anyone who is a disciple of Christ, the Prince of Peace, is never on the side of those who once wielded the sword and… [+9492 chars];Unknown;Conflict-Driven Crisis (war, violence, attacks on healthcare);neutral
The Punch;Punch Newspapers;5,000 displaced in Borno, humanitarian needs overwhelming — MSF;"Violence in Borno, Nigeria, displaces 5,000, creating a dire humanitarian crisis. MSF calls for urgent aid for food, water, and shelter in Pulka.

Read More: https://punchng.com/5000-displaced-in-borno-humanitarian-needs-overwhelming-msf/";https://punchng.com/5000-displaced-in-borno-humanitarian-needs-overwhelming-msf/;2026-04-23T23:23:27Z;Médecins Sans Frontières on Thursday said it has launched an emergency response in Northeast Nigeria after fresh violence in Borno State displaced more than 5,000 people, many of whom are now living … [+3252 chars];Niger;Conflict-Driven Crisis (war, violence, attacks on healthcare);negative
Vox;Eric Levitz;The real problem with Hasan Piker;Hasan Piker is exceptionally good at ranting about politics while playing video games. In the late 20th century, this would have made him a fun (if exhausting) hang. In today’s era, it has rendered him one of the most influential left-wing commentators in Ame…;https://www.vox.com/politics/486091/hasan-piker-democrats-israel-china;2026-04-23T22:33:36Z;"Hasan Piker at the Web Summit Qatar 2026 in Doha, Qatar. | Shauna Clinton/Sportsfile via Getty Images


Hasan Piker is exceptionally good at ranting about politics while playing video games. In the … [+15409 chars]";Unknown;Epidemic & Disease-Driven Crisis (cholera, outbreak, infectious disease);positive
RT;RT;War without end? How Israel became trapped in its own security doctrine;As Israel moves past another Independence Day, its war on terror is raising doubts about whether force can prevent the next October 7 Read Full Article at RT.com;https://www.rt.com/news/638963-war-without-end-israel/;2026-04-23T19:58:52Z;Born out of the need for safety, Israel today finds itself navigating a reality defined by recurring conflict and persistent insecurity. As another Independence Day has passed, for West Jerusalem the… [+17714 chars];Unknown;Conflict-Driven Crisis (war, violence, attacks on healthcare);negative
Al Jazeera English;Al Jazeera Staff;More than 6 million Somalis face hunger amid climate shocks and conflict;"Drought, failed rains, and conflict drive 6.5 million Somalis into hunger; children face acute malnutrition risks.";https://www.aljazeera.com/news/2026/4/23/more-than-6-million-somalis-face-hunger-amid-climate-shocks-and-conflict;2026-04-23T17:45:35Z;On the outskirts of Somalias southern port city, the land has become an open graveyard for cattle. Some are left where they fell, while others are buried in shallow graves after consecutive failed ra… [+6423 chars];Mali;Food & Nutrition-Driven Crisis (famine, malnutrition, starvation);negative
Hollywood Reporter;Brande Victorian;2026 Peabody Awards Winners List;HBO received the most awards across the entertainment and documentary categories with a total of six wins.;http://www.hollywoodreporter.com/tv/tv-news/peabody-awards-winners-list-2026-1236572641/;2026-04-23T17:00:00Z;"The 34 winners of the 2026 Peabody Awards have been announced.
Entertainment and documentary titles had a strong showing with a total of 11 and 10 wins, respectively, in each category. Among network… [+21132 chars]";Unknown;Epidemic & Disease-Driven Crisis (cholera, outbreak, infectious disease);positive
Deadline;Patrick Hipes;Peabody Awards Winners Include ‘Heated Rivalry’, ‘Jimmy Kimmel Live!’, ‘The Pitt’, Oscar Winner ‘Mr. Nobody Against Putin’;Oscar-winning documentary Mr Nobody Against Putin, Emmy winners Adolescence and The Pitt, in-the-zeitgeist shows including Jimmy Kimmel Live!, Pluribus and Heated Rivalry, and news and interactive specials touching on the war in Gaza, immigration, ICE and the…;http://deadline.com/2026/04/2026-peabody-awards-winners-list-1236868900/;2026-04-23T17:00:00Z;Oscar-winning documentary Mr Nobody Against Putin, Emmy winners Adolescence and The Pitt, in-the-zeitgeist shows including Jimmy Kimmel Live!, Pluribus and Heated Rivalry, and news and interactive sp… [+20974 chars];Unknown;Displacement-Driven Crisis (refugees, camps, migration);neutral
La Repubblica;repubblicawww@repubblica.it (Redazione Repubblica.it);Zack Polanski, the new star of the left: “NATO, taxes on the rich and Brexit: it’s time for change”;A long conversation (in a London park) with the 43-year-old leader of the Green Party, who is soaring in the polls and could wipe out Labour: “I am Jewish, but what is happening in Gaza is genocide and Israel must be boycotted. What I really think about Trump…;https://www.repubblica.it/esteri/2026/04/23/news/zack_polanski_the_new_star_of_the_left_nato_taxes_on_the_rich_and_brexit_it_s_time_for_change-425302086/;2026-04-23T16:59:20Z;LONDON - Amo Italia. Sto imparando italiano. Now in English. Im still learning Italian. I have a dear, deep love and affection to Italy, Zack Polanski, the new icon and standard-bearer of the British… [+46654 chars];Italy;Conflict-Driven Crisis (war, violence, attacks on healthcare);neutral
The Atlantic;Gisela Salim-Peyer;Cubans’ Despair;Economic desperation has morphed into frustration, including at those purporting to help.;https://www.theatlantic.com/ideas/2026/04/cuba-crisis-oil-blockade/686865/;2026-04-23T16:05:28Z;Cubans for decades have been buffeted by great powers, repressed by their own government, crushed by economic crises, and paraded as the victims of a succession of sanctions imposed by the White Hous… [+13506 chars];Unknown;Displacement-Driven Crisis (refugees, camps, migration);negative
The Punch;Punch Newspapers;MSF unveils emergency aid for 5,000 displaced by Borno violence;"MSF launches an emergency response for 5,000 people displaced by fresh Borno violence, providing essential aid, water, and sanitation in Pulka.

Read More: https://punchng.com/msf-unveils-emergency-aid-for-5000-displaced-by-borno-violence/";https://punchng.com/msf-unveils-emergency-aid-for-5000-displaced-by-borno-violence/;2026-04-23T15:38:56Z;Médecins Sans Frontières on Thursday said it has launched an emergency response in northeast Nigeria after fresh violence in Borno State displaced more than 5,000 people, many of whom are now living … [+3269 chars];Niger;Conflict-Driven Crisis (war, violence, attacks on healthcare);neutral
Associated Press;AP;Algeria’s Leading Author Says He’s Been Sentenced To Prison For His Prize-Winning Novel;French-Algerian author Kamel Daoud says he has been sentenced to three years in prison in Algeria for his book “Houris.” The novel won France’s top literary award in 2024. It focuses on victims of Algeria’s “black decade.” This conflict began in 1991 when the…;https://apnews.com/article/france-algeria-writer-kamel-daoud-sentenced-28832ad67d766894153294e9877b12a1;2026-04-23T15:03:00Z;PARIS (AP) French-Algerian author Kamel Daoud said Wednesday that he has been sentenced to three years in prison in Algeria for his book Houris, a recipient of Frances most prestigious literary award… [+2701 chars];France;Conflict-Driven Crisis (war, violence, attacks on healthcare);negative
Opiniojuris.org;Sergey Sayapin;International Law for a Fragile World: When Risk Outpaces Control – AI, Bioengineering, and Cyber-Autonomy;[Dr Sergey Sayapin is Professor of Law at KIMEP University (Almaty, Kazakhstan) and Distinguished Visiting Global Scholar at the NUS Centre for International Law (2025)] If climate change exposes the limits of consent-based governance in ecological systems, t…;http://opiniojuris.org/2026/04/23/international-law-for-a-fragile-world-when-risk-outpaces-control-ai-bioengineering-and-cyber-autonomy/;2026-04-23T12:00:50Z;"[Dr Sergey Sayapin is Professor of Law at KIMEP University (Almaty, Kazakhstan) and Distinguished Visiting Global Scholar at the NUS Centre for International Law (2025)]
If climate change exposes th… [+18563 chars]";Kazakhstan;Environmental Disaster-Driven Crisis (flood, drought, earthquake);neutral
Globalsecurity.org;John Pike;China's four-point proposal: a constructive contribution to Middle East peace and stability;During a recent meeting with Sheikh Khaled bin Mohamed bin Zayed Al Nahyan, Crown Prince of Abu Dhabi, United Arab Emirates (UAE), Chinese President Xi Jinping put forward a four-point proposal on promoting peace and stability in the Middle East.;https://www.globalsecurity.org/wmd/library/news/iran/2026/04/iran-260423-pdo01.htm;2026-04-23T11:53:58Z;"People's Daily Online
By He Yin (People's Daily) 10:55, April 23, 2026
During a recent meeting with Sheikh Khaled bin Mohamed bin Zayed Al Nahyan, Crown Prince of Abu Dhabi, United Arab Emirates (U… [+6178 chars]";Unknown;Conflict-Driven Crisis (war, violence, attacks on healthcare);neutral
PetaPixel;Jeremy Gray;World Press Photo of the Year 2026 Shows the Impact of Immigration Enforcement;"World Press Photo announced the winners of its annual competition earlier this month, highlighting powerful and poignant photojournalism from around the world. Today, World Press Photo unveiled its Photo of the Year for 2026.
[Read More]";https://petapixel.com/2026/04/23/world-press-photo-of-the-year-2026-shows-the-impact-of-immigration-enforcement/;2026-04-23T09:00:34Z;Separated by ICE | “‘Please understand we are coming here for a better opportunity, not just for ourselves, but for our children,’ said Cocha, after her husband, Luis, was detained by ICE agents foll… [+7017 chars];Unknown;Epidemic & Disease-Driven Crisis (cholera, outbreak, infectious disease);positive
Al Jazeera English;Al Jazeera Staff;Israeli strike kills five in Gaza, including three children;Israel has committed 2,400 violations of the 'ceasefire' deal struck with Hamas in October, Gaza officials say.;https://www.aljazeera.com/news/2026/4/23/israeli-strike-kills-five-in-gaza-including-three-children;2026-04-23T07:53:15Z;"An Israeli air strike has targeted a group of civilians in northern Gaza, killing at least five Palestinians, according to Gazas civil defence agency.
Five Palestinians, including three children, we… [+2299 chars]";Unknown;Conflict-Driven Crisis (war, violence, attacks on healthcare);negative
CounterPunch;John R. Johnson;Cuba Needs Help, Not Military Intervention;In Cuba, hardship is not abstract. On my most recent visit, I watched residents use metal rods to probe beneath the pavement for water lines because municipal pump failures had left them scrambling for access to drinking water. If U.S. policy is meant to help…;https://www.counterpunch.org/2026/04/23/cuba-needs-help-not-military-intervention/;2026-04-23T05:50:53Z;"Falla Cuba – Dénia 2025- Secció 4ªA. Sector 6 Russafa B. Título: “Al mal temps bona cara”. Artista: Enrique i Mario Cardells. Photograph Source: Ponscor – CC BY-SA 4.0
In Cuba, hardship is not abstr… [+4110 chars]";Unknown;Displacement-Driven Crisis (refugees, camps, migration);negative
Truthout;Eman Abu Zayed;New Flotilla Shows Palestinians in Gaza That the World Has Not Abandoned Us;The persistence of the flotillas offers us hope -- that there are still those trying to reach us despite all obstacles.;https://truthout.org/articles/new-flotilla-shows-palestinians-in-gaza-that-the-world-has-not-abandoned-us/;2026-04-22T16:22:08Z;"Part of the Series
Honest, paywall-free news is rare. Please support our boldly independent journalism with a donation of any size.
When word of an upcoming maritime flotilla coming from countries … [+8786 chars]";Unknown;Displacement-Driven Crisis (refugees, camps, migration);positive
Globalresearch.ca;Kamran Qureshi;The Unbroken Thread: Debt, War, and the Normalization of Elite Power (1694-2026);"Abstract
This essay argues that the mechanisms of elite control debt-based money, sovereign loans, war financing, and wealth concentration have remained structurally continuous from the medieval period to the present. While mainstream historians dismiss the c…";https://www.globalresearch.ca/debt-war-normalization-elite-power/5923333;2026-04-22T13:06:01Z;"Abstract
This essay argues that the mechanisms of elite control debt-based money, sovereign loans, war financing, and wealth concentration have remained structurally continuous from the medieval per… [+25973 chars]";Unknown;Epidemic & Disease-Driven Crisis (cholera, outbreak, infectious disease);neutral
Mcsweeneys.net;Emily Greenberg and Cliff Mayotte;Lest We Forget the Horrors: An Unending Catalog of Trump’s Cruelties, Collusions, Corruptions, and Crimes: March 2026: Atrocities 805-866;Early in President Trump’s first term, McSweeney’s editors began to catalog the head-spinning number of misdeeds coming from his administration. We called this list a collection of Trump’s cruelties, collusions, corruptions, and crimes, and it felt urgent to …;https://www.mcsweeneys.net/articles/march-2026-atrocities-805-866;2026-04-22T12:00:00Z;Early in President Trump’s first term, McSweeney’s editors began to catalog the head-spinning number of misdeeds coming from his administration. We called this list a collection of Trump’s cruelties,… [+43818 chars];Unknown;Displacement-Driven Crisis (refugees, camps, migration);neutral
Globalsecurity.org;John Pike;Libya's Road Map 'Not Where We Would Like', Mission Chief Tells Security Council, as Speakers Call for Urgent Implementation, Political Will to Break Status Quo;The Security Council today broadly agreed on the steps towards Libya's peace and stability — including elections, institutional reunification, security sector reform and economic transparency — but emphasized that the real test will be effective implementatio…;https://www.globalsecurity.org/wmd/library/news/libya/2026/libya-260422-unsc01.htm;2026-04-22T12:00:00Z;"Meetings CoverageSecurity Council
10142nd Meeting (AM)
SC/1634622 April 2026
The Security Council today broadly agreed on the steps towards Libya's peace and stability including elections, institu… [+7974 chars]";Libya;Conflict-Driven Crisis (war, violence, attacks on healthcare);positive
The New Republic;Right Now With Perry Bacon;Transcript: How the Media Failed the Palestinians;This is a lightly edited transcript of the April 22 edition of Right Now With Perry Bacon. You can watch the video here or by following this show on YouTube or Substack.Perry Bacon: I’m the host of Right Now on The New Republic. I’m joined today by Adam Johns…;https://newrepublic.com/article/209239/transcript-media-failed-palestinians;2026-04-22T10:00:00Z;"This is a lightly edited transcript of the April 22 edition of Right Now With Perry Bacon. You can watch the video here or by following this show on YouTube or Substack.
Perry Bacon: Im the host of … [+59968 chars]";Unknown;Displacement-Driven Crisis (refugees, camps, migration);neutral
NBC News;Jennifer Jett;Trump may send Afghan allies who were promised new lives in the U.S. to Congo instead;Hundreds of Afghan refugees who helped the United States fight the Taliban may be sent to the Democratic Republic of Congo after the Trump administration halted their U.S. resettlement, an advocacy group said;https://www.nbcnews.com/world/asia/trump-send-afghan-allies-us-congo-taliban-qatar-camp-refugees-rcna341352;2026-04-22T08:11:18Z;Hundreds of Afghan refugees who helped the United States fight the Taliban may be sent to the Democratic Republic of Congo after the Trump administration halted their U.S. resettlement, an advocacy g… [+6098 chars];Democratic Republic of Congo;Displacement-Driven Crisis (refugees, camps, migration);neutral
